,cctvid,vdid,dist,cctv_url
0,nfbCCTV-N5-N-2.082-M,nfbVD-N5-N-2.068-M-PS,0.009957342970224301,http://202.39.180.202:8081/mjpeg/X01001510011301
1,nfbCCTV-N3A-W-5.35-M,nfbVD-N3A-W-5.500-M-RS,0.20087564000719324,"http://210.242.179.85/vStream.php?pm=211,A58,9"
2,nfbCCTV-T76-W-33.445-M,nfbVD-T76-W-26.500-N-Loop,3.186891594267954,http://210.241.63.120/abs2mjpg/bmjpg?camera=163
3,nfbCCTV-N3-S-76.93-M,nfbVD-N3-S-77.255-M-LOOP,0.34138740013778024,"http://cctvn01.freeway.gov.tw/vStream.php?pm=165,A45,31"
4,nfbCCTV-N1-N-33.12-M,nfbVD-N1-N-33.000-M-LOOP,0.01604691519573774,"http://cctvn01.freeway.gov.tw/vStream.php?pm=C2,1330"
5,nfbCCTV-N2-W-6.4-M,nfbVD-N2-W-6.260-M-LOOP,0.10869564513917146,"http://210.242.179.85/vStream.php?pm=210,A57,7"
6,nfbCCTV-N3-N-33.918-M,nfbVD-N3-N-34.000-M-LOOP,0.027385061834979796,"http://cctvn01.freeway.gov.tw/vStream.php?pm=166,A30,6"
7,nfbCCTV-T76-W-27.39-M,nfbVD-T76-W-26.500-N-Loop,0.3877181470490139,http://210.241.63.120/abs2mjpg/bmjpg?camera=148
8,nfbCCTV-N3-S-24.339-M,nfbVD-N3-S-24.289-M-LOOP,0.045789880441627094,"http://cctvn01.freeway.gov.tw/vStream.php?pm=167,A31,28"
9,nfbCCTV-T76-W-32.95-M,nfbVD-T76-W-26.500-N-Loop,3.186891594267954,http://210.241.63.120/abs2mjpg/bmjpg?camera=162
10,nfbCCTV-N3-N-196.756-M,nfbVD-N3-N-197.086-N-OH,0.34979530209727666,http://210.241.63.120/abs2mjpg/bmjpg?camera=268
11,nfbCCTV-T82-E-18.869-M,nfbVD-T82-E-18.697-N-Loop,0.10176045153480558,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=18
12,nfbCCTV-N3-N-60.34-M,nfbVD-N3-N-60.500-M-LOOP,0.21761156375764112,"http://cctvn01.freeway.gov.tw/vStream.php?pm=162,A42,14"
13,nfbCCTV-N5-N-4.518-M,nfbVD-N5-N-4.000-I-SN-1,0.3998477336938231,http://202.39.180.202:8081/mjpeg/X01001602800501
14,nfbCCTV-N10-E-6.992-M,nfbVD-N10-E-7.080-N-Loop,0.04481635371103102,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=120
15,nfbCCTV-N1-N-125.5-M,nfbVD-N1-N-125.730-M-LOOP,0.17019252995375003,http://210.241.63.120/abs2mjpg/bmjpg?camera=182
16,nfbCCTV-N1H-N-52.653-M,nfbVD-N1H-N-52.583-M-LOOP,0.025515955888548096,"http://cctvn01.freeway.gov.tw/vStream.php?pm=C0,1522"
17,nfbCCTV-N3-N-196-M,nfbVD-N3-N-196-I-WN-1X-北上入口2,0.19426927265840974,http://210.241.63.120/abs2mjpg/bmjpg?camera=267
18,nfbCCTV-N1-S-166.36-M,nfbVD-N1-S-166.250-M-LOOP,0.057793484505433305,http://210.241.63.120/abs2mjpg/bmjpg?camera=203
19,nfbCCTV-T64-W-8.81-M,nfbVD-T64-W-8.00-M-RS,0.6381411823584494,http://117.56.170.55/T64-8K%2b814
20,nfbCCTV-N2-W-1.9-M,nfbVD-N2-W-2.266-M-RS,0.20715210775269602,"http://210.242.179.85/vStream.php?pm=211,A58,47"
21,nfbCCTV-N3-N-1.901-M,nfbVD-N3-N-1.760-M-LOOP,0.05034193419173773,"http://cctvn01.freeway.gov.tw/vStream.php?pm=171,A35,17"
22,nfbCCTV-N3A-E-2.586-M,nfbVD-N3A-E-2.680-M-LOOP,0.050664238443194516,"http://cctvn01.freeway.gov.tw/vStream.php?pm=167,A31,4"
23,nfbCCTV-N5-S-5.522-M,nfbVD-N5-S-4.633-M,0.4870917899834702,http://202.39.180.202:8081/mjpeg/X01001602900401
24,nfbCCTV-N10-W-25.065-M,nfbVD-N10-W-26.052-M-Loop,0.8509926300285342,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=326
25,nfbCCTV-N1H-N-32.972-M,nfbVD-N1-N-33.000-M-LOOP,0.0840096658205583,"http://cctvn01.freeway.gov.tw/vStream.php?pm=C0,1323"
26,nfbCCTV-N3-N-228.653-M,nfbVD-N3-N-228.912-M-OH,0.23098607097019938,http://210.241.63.120/abs2mjpg/bmjpg?camera=281
27,nfbCCTV-N8-E-7.75-M,nfbVD-N8-E-7.878-M-Loop,0.1382803823649479,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=60
28,nfbCCTV-T64-E-25.09-M,nfbVD-T64-E-25.33-M-RS,0.2037592258658784,http://117.56.12.145/T64-25K%2b099
29,nfbCCTV-N10-W-31.02-M,nfbVD-N10-W-31.452-M-Loop,0.2185528036969242,http://wwwvbs.sfreeway.gov.tw/live-view/mjpg/video.cgi?camera=327
30,nfbCCTV-N3-N-104.3-M,nfbVD-N3-N-103-I-WN-22-茄苳,0.4430109738943806,"http://210.242.179.85/vStream.php?pm=211,A58,51"
31,nfbCCTV-N5-N-14.6-M,nfbVD-N5-N-14.550-M,0.036209109255364726,http://202.39.180.202:8081/mjpeg/X01001604800801
32,nfbCCTV-N5-N-23.921-M,nfbVD-N5-N-23.911-M-PS,0.008088824252514573,http://202.39.180.202:8081/mjpeg/X01001510212001
33,nfbCCTV-T68-E-12.62-M,nfbVD-T68-E-12.10-M-RS,0.025782891628880953,"http://cctvn01.freeway.gov.tw/vStream.php?pm=187,B12,31"
34,nfbCCTV-T62-W-12.91-M,nfbVD-T62-W-13.00-M-OH,0.010770623826751735,http://117.56.12.145/T62-0K%2b838
35,nfbCCTV-T64-E-4.42-M,nfbVD-T64-E-5.08-M-OH,0.6497383627372938,http://117.56.170.55/T64-4K%2b420
36,nfbCCTV-N1-N-56.98-M,nfbVD-N1-N-57-O-SW-1A-內壢,0.06074674956720169,"http://cctvn01.freeway.gov.tw/vStream.php?pm=164,A44,18"
37,nfbCCTV-N3-N-1.087-M,nfbVD-N3-N-0.970-M-LOOP,0.03222789018285814,"http://cctvn01.freeway.gov.tw/vStream.php?pm=169,A33,12"
38,nfbCCTV-N3-S-197.93-M,nfbVD-N3-S-197.742-M-LOOP,0.2058689700522808,http://210.241.63.120/abs2mjpg/bmjpg?camera=435
39,nfbCCTV-N3K-N-1.09-M,nfbVD-N3K-N-2-O-NE-1-德安路,0.0,"http://210.242.179.85/vStream.php?pm=210,A57,25"
40,nfbCCTV-N6-E-19.523-M,nfbVD-N6-E-19.802-M-OH,0.28422043167601724,http://210.241.63.120/abs2mjpg/bmjpg?camera=72
